Calculation1,School,City,County/State/Country,App GPA,Adm GPA,Enrl GPA
BASIS FLAGSTAFF030728,BASIS FLAGSTAFF,Flagstaff,Arizona,4.17,4.17,
BASIS INDEPENDENT MCLEAN470006,BASIS INDEPENDENT MCLEAN,Mclean,Virginia,4.13,4.11,
BASIS MESA030750,BASIS MESA,Mesa,Arizona,4.26,,
BASIS ORO VALLEY030615,BASIS ORO VALLEY,Oro Valley,Arizona,4.28,4.28,
BASIS PEORIA030652,BASIS PEORIA,Peoria,Arizona,4.03,4.1,
BASIS PHOENIX030742,BASIS PHOENIX,Phoenix,Arizona,4.13,4.12,
BASIS SAN ANTONIO SHAVANO CMPS446283,BASIS SAN ANTONIO SHAVANO CMPS,San Antonio,Texas,4,4.12,
BASIS SCOTTSDALE CHARTER SCH030660,BASIS SCOTTSDALE CHARTER SCH,Scottsdale,Arizona,4.15,4.21,4.19
BASIS TUCSON NORTH030743,BASIS TUCSON NORTH,Tucson,Arizona,4.22,4.22,
BASIS WASHINGTON DC090014,BASIS WASHINGTON DC,Washington,District of Columbia,4.09,,
BATAVIA HIGH SCHOOL140212,BATAVIA HIGH SCHOOL,Batavia,Illinois,3.97,,
BATH COMMUNITY HIGH SCHOOL230170,BATH COMMUNITY HIGH SCHOOL,Bath,Michigan,3.85,,
BATON ROUGE MAGNET HIGH SCHOOL190179,BATON ROUGE MAGNET HIGH SCHOOL,Baton Rouge,Louisiana,4.17,,
BATTLE GROUND ACADEMY430700,BATTLE GROUND ACADEMY,Franklin,Tennessee,4.08,4.08,
BATTLE MOUNTAIN HIGH SCHOOL061010,BATTLE MOUNTAIN HIGH SCHOOL,Edwards,Colorado,4.04,,
BATTLEFIELD HIGH SCHOOL471069,BATTLEFIELD HIGH SCHOOL,Haymarket,Virginia,3.71,,
BAYLOR SCHOOL430275,BAYLOR SCHOOL,Chattanooga,Tennessee,3.94,3.98,
BEACHWOOD HIGH SCHOOL361193,BEACHWOOD HIGH SCHOOL,Beachwood,Ohio,4.24,,
BEACON SCHOOL333438,BEACON SCHOOL,New York,New York,3.82,3.93,
BEAR CREEK SCHOOL481592,BEAR CREEK SCHOOL,Redmond,Washington,4.07,4.03,
BEAVER COUNTRY DAY SCHOOL220595,BEAVER COUNTRY DAY SCHOOL,Chestnut Hill,Massachusetts,3.76,,
BEAVERCREEK HIGH SCHOOL365660,BEAVERCREEK HIGH SCHOOL,Beavercreek,Ohio,3.81,,
BEDFORD HIGH SCHOOL220112,BEDFORD HIGH SCHOOL,Bedford,Massachusetts,3.87,3.88,
BELLAIRE SENIOR HIGH SCHOOL440557,BELLAIRE SENIOR HIGH SCHOOL,Bellaire,Texas,3.98,4.1,
BELLARMINE PREPARATORY SCHOOL481365,BELLARMINE PREPARATORY SCHOOL,Tacoma,Washington,3.93,3.96,3.78
BELLEVUE CHRISTIAN SCHOOL480065,BELLEVUE CHRISTIAN SCHOOL,Clyde Hill,Washington,4.1,4.12,
BELLEVUE SENIOR HIGH SCHOOL480070,BELLEVUE SENIOR HIGH SCHOOL,Bellevue,Washington,4.05,4.08,4.03
BELLINGHAM HIGH SCHOOL480094,BELLINGHAM HIGH SCHOOL,Bellingham,Washington,4.08,4.08,
BELMONT HIGH SCHOOL220123,BELMONT HIGH SCHOOL,Belmont,Massachusetts,4.03,4.16,
BEN LIPPEN SCHOOL410501,BEN LIPPEN SCHOOL,Columbia,South Carolina,3.73,3.7,
BEND HIGH SCHOOL380085,BEND HIGH SCHOOL,Bend,Oregon,4.07,4.09,
BENET ACADEMY142635,BENET ACADEMY,Lisle,Illinois,3.6,,
BENJAMIN BANNEKER ACADEMIC HS090017,BENJAMIN BANNEKER ACADEMIC HS,Washington,District of Columbia,3.71,,
BENJAMIN CARDOZO HIGH SCHOOL330357,BENJAMIN CARDOZO HIGH SCHOOL,Oakland Gardens,New York,3.91,,
BENJAMIN FRANKLIN HIGH SCHOOL192006,BENJAMIN FRANKLIN HIGH SCHOOL,New Orleans,Louisiana,3.93,3.93,
BENJAMIN SCHOOL101239,BENJAMIN SCHOOL,Palm Beach Gdns,Florida,3.95,3.93,
BENTONVILLE HIGH SCHOOL040175,BENTONVILLE HIGH SCHOOL,Bentonville,Arkansas,3.93,3.98,
BERGEN CATHOLIC HIGH SCHOOL311053,BERGEN CATHOLIC HIGH SCHOOL,Oradell,New Jersey,3.86,4.12,
BERGEN COUNTY ACADEMIES310118,BERGEN COUNTY ACADEMIES,Hackensack,New Jersey,4.07,4.06,4.09
BERGEN COUNTY TECHNICAL HS310450,BERGEN COUNTY TECHNICAL HS,Teterboro,New Jersey,4.04,4.12,
BERKELEY CARROLL SCHOOL330575,BERKELEY CARROLL SCHOOL,Brooklyn,New York,3.7,3.69,
BERKELEY PREPARATORY SCHOOL101686,BERKELEY PREPARATORY SCHOOL,Tampa,Florida,3.93,3.85,
BERKLEY HIGH SCHOOL230295,BERKLEY HIGH SCHOOL,Berkley,Michigan,4.14,,
BERKSHIRE SCHOOL221900,BERKSHIRE SCHOOL,Sheffield,Massachusetts,3.97,4.03,
BERNARDS HIGH SCHOOL310095,BERNARDS HIGH SCHOOL,Bernardsville,New Jersey,3.91,4,
BERWICK ACADEMY200930,BERWICK ACADEMY,South Berwick,Maine,3.97,,
BETHEL HIGH SCHOOL481225,BETHEL HIGH SCHOOL,Spanaway,Washington,3.91,,
BETHESDA CHEVY CHASE HS210250,BETHESDA CHEVY CHASE HS,Bethesda,Maryland,3.88,4.02,
BETHLEHEM CENTRAL HIGH SCHOOL331595,BETHLEHEM CENTRAL HIGH SCHOOL,Delmar,New York,4.08,,
BEVERLY HIGH SCHOOL220135,BEVERLY HIGH SCHOOL,Beverly,Massachusetts,4.07,,
BEXLEY HIGH SCHOOL361505,BEXLEY HIGH SCHOOL,Bexley,Ohio,3.92,,
BIOTECHNOLOGY HIGH SCHOOL310904,BIOTECHNOLOGY HIGH SCHOOL,Freehold,New Jersey,4.17,4.16,
BISHOP BRADY HIGH SCHOOL300105,BISHOP BRADY HIGH SCHOOL,Concord,New Hampshire,3.72,,
BISHOP GORMAN HIGH SCHOOL290095,BISHOP GORMAN HIGH SCHOOL,Las Vegas,Nevada,3.87,3.96,4.06
BISHOP KELLY HIGH SCHOOL130041,BISHOP KELLY HIGH SCHOOL,Boise,Idaho,4.1,4.13,
BISHOP LYNCH HIGH SCHOOL441718,BISHOP LYNCH HIGH SCHOOL,Dallas,Texas,3.76,3.88,
BISHOP MANOGUE CATHOLIC HS290140,BISHOP MANOGUE CATHOLIC HS,Reno,Nevada,4.03,4.19,
BISHOP MOORE HIGH SCHOOL101285,BISHOP MOORE HIGH SCHOOL,Orlando,Florida,3.58,3.64,
BISHOP O'CONNELL HIGH SCHOOL470103,BISHOP O'CONNELL HIGH SCHOOL,Arlington,Virginia,3.79,3.81,
BISHOP STANG HIGH SCHOOL221643,BISHOP STANG HIGH SCHOOL,North Dartmouth,Massachusetts,3.8,3.8,
BLACKSBURG HIGH SCHOOL470225,BLACKSBURG HIGH SCHOOL,Blacksburg,Virginia,4.13,,
BLAINE HIGH SCHOOL240256,BLAINE HIGH SCHOOL,Blaine,Minnesota,4.01,,
BLAKE SCHOOL THE241635,BLAKE SCHOOL THE,Minneapolis,Minnesota,3.94,3.87,4.07
BLOOMFIELD HILLS HIGH SCHOOL232447,BLOOMFIELD HILLS HIGH SCHOOL,Bloomfield Twp,Michigan,4.06,4.05,
BLOOMINGTON HIGH SCHOOL SOUTH150215,BLOOMINGTON HIGH SCHOOL SOUTH,Bloomington,Indiana,4.19,4.17,
BLUE RIDGE SCHOOL472020,BLUE RIDGE SCHOOL,St George,Virginia,3.86,,
BLUE VALLEY HIGH SCHOOL172820,BLUE VALLEY HIGH SCHOOL,Stilwell,Kansas,4.25,4.27,
BLUE VALLEY NORTH HIGH SCHOOL172294,BLUE VALLEY NORTH HIGH SCHOOL,Overland Park,Kansas,4.08,4.16,4.12
BLUE VALLEY NORTHWEST HS172296,BLUE VALLEY NORTHWEST HS,Overland Park,Kansas,4.05,4,
BLUE VALLEY WEST HIGH SCHOOL172821,BLUE VALLEY WEST HIGH SCHOOL,Overland Park,Kansas,3.96,3.91,
BOB JONES HIGH SCHOOL011697,BOB JONES HIGH SCHOOL,Madison,Alabama,4.12,,
BOCA RATON COMMUNITY HIGH SCH100131,BOCA RATON COMMUNITY HIGH SCH,Boca Raton,Florida,3.75,,
BOISE HIGH SCHOOL130042,BOISE HIGH SCHOOL,Boise,Idaho,4.13,4.18,
BOLLES SCHOOL100745,BOLLES SCHOOL,Jacksonville,Florida,3.84,4.09,
BOOKER T WASHINGTON HIGH SCHL373590,BOOKER T WASHINGTON HIGH SCHL,Tulsa,Oklahoma,3.89,,
BOOKER T WASHINGTON HSPVA441732,BOOKER T WASHINGTON HSPVA,Dallas,Texas,3.88,3.95,
BOSQUE SCHOOL320059,BOSQUE SCHOOL,Albuquerque,New Mexico,3.92,,
BOSTON COLLEGE HIGH SCHOOL220180,BOSTON COLLEGE HIGH SCHOOL,Dorchester,Massachusetts,4.09,,
BOSTON LATIN SCHOOL220185,BOSTON LATIN SCHOOL,Boston,Massachusetts,3.99,3.96,
BOSTON UNIVERSITY ACADEMY220202,BOSTON UNIVERSITY ACADEMY,Boston,Massachusetts,3.8,,
BOTHELL HIGH SCHOOL480100,BOTHELL HIGH SCHOOL,Bothell,Washington,4.09,4.15,
BOULDER CREEK HIGH SCHOOL030581,BOULDER CREEK HIGH SCHOOL,Anthem,Arizona,4.06,4.04,
BOULDER HIGH SCHOOL060115,BOULDER HIGH SCHOOL,Boulder,Colorado,3.98,3.98,4.14
BOZEMAN HIGH SCHOOL270100,BOZEMAN HIGH SCHOOL,Bozeman,Montana,4.04,4.05,
BRAINTREE HIGH SCHOOL220420,BRAINTREE HIGH SCHOOL,Braintree,Massachusetts,3.58,,
BREBEUF JESUIT PREPARATORY SCH151653,BREBEUF JESUIT PREPARATORY SCH,Indianapolis,Indiana,3.9,,
BRECK SCHOOL241592,BRECK SCHOOL,Golden Valley,Minnesota,4.01,4.01,
BRENTWOOD HIGH SCHOOL430162,BRENTWOOD HIGH SCHOOL,Brentwood,Tennessee,4,,
BRIAR WOODS HIGH SCHOOL470061,BRIAR WOODS HIGH SCHOOL,Ashburn,Virginia,4.09,4.1,
BRIARCLIFF HIGH SCHOOL330505,BRIARCLIFF HIGH SCHOOL,Briarcliff Manor,New York,4.06,4,
BRIDGELAND HIGH SCHOOL440281,BRIDGELAND HIGH SCHOOL,Cypress,Texas,3.97,,
BRIDGEWATER-RARITAN RGNL HS310753,BRIDGEWATER-RARITAN RGNL HS,Bridgewater,New Jersey,4.01,4.06,4.08
BRIGHTON HIGH SCHOOL450362,BRIGHTON HIGH SCHOOL,Salt Lake City,Utah,4.19,4.18,
BRITISH INTRNTL SCHOOL CHICAGO140666,BRITISH INTRNTL SCHOOL CHICAGO,Chicago,Illinois,3.97,4.09,
BROADNECK HIGH SCHOOL210011,BROADNECK HIGH SCHOOL,Annapolis,Maryland,4.12,,
BRONX HIGH SCHOOL OF SCIENCE333480,BRONX HIGH SCHOOL OF SCIENCE,Bronx,New York,4.14,4.16,4.05
BRONXVILLE HIGH SCHOOL330540,BRONXVILLE HIGH SCHOOL,Bronxville,New York,4.04,4.12,
BROOKFIELD ACADEMY500283,BROOKFIELD ACADEMY,Brookfield,Wisconsin,4,4.04,
BROOKFIELD CENTRAL HIGH SCHOOL500282,BROOKFIELD CENTRAL HIGH SCHOOL,Brookfield,Wisconsin,4.14,4.15,
BROOKFIELD EAST HIGH SCHOOL500281,BROOKFIELD EAST HIGH SCHOOL,Brookfield,Wisconsin,4.24,4.19,
BROOKFIELD HIGH SCHOOL070085,BROOKFIELD HIGH SCHOOL,Brookfield,Connecticut,3.93,,
BROOKLINE HIGH SCHOOL220445,BROOKLINE HIGH SCHOOL,Brookline,Massachusetts,3.88,3.88,
BROOKLYN TECHNICAL HIGH SCHOOL330630,BROOKLYN TECHNICAL HIGH SCHOOL,Brooklyn,New York,3.9,4.01,4.05
BROOKS SCHOOL221610,BROOKS SCHOOL,North Andover,Massachusetts,4.01,,
BROOKWOOD HIGH SCHOOL112754,BROOKWOOD HIGH SCHOOL,Snellville,Georgia,4.15,,
BROOMFIELD HIGH SCHOOL060148,BROOMFIELD HIGH SCHOOL,Broomfield,Colorado,3.98,,
BROPHY COLLEGE PREPARATORY030265,BROPHY COLLEGE PREPARATORY,Phoenix,Arizona,4.02,4.14,4.12
BROWNELL-TALBOT SCHOOL281695,BROWNELL-TALBOT SCHOOL,Omaha,Nebraska,4.06,4.11,
BRUNSWICK SCHOOL070219,BRUNSWICK SCHOOL,Greenwich,Connecticut,3.75,3.91,
BRYN MAWR SCHOOL FOR GIRLS210050,BRYN MAWR SCHOOL FOR GIRLS,Baltimore,Maryland,3.79,,
BUCHHOLZ HIGH SCHOOL100543,BUCHHOLZ HIGH SCHOOL,Gainesville,Florida,4.11,,
BUCKINGHAM BROWNE & NICHOLS SC220475,BUCKINGHAM BROWNE & NICHOLS SC,Waterton,Massachusetts,3.84,3.88,
BUENA HIGH SCHOOL030417,BUENA HIGH SCHOOL,Sierra Vista,Arizona,3.84,,
BUFFALO GROVE HIGH SCHOOL140447,BUFFALO GROVE HIGH SCHOOL,Buffalo Grove,Illinois,4.05,4.14,
BUFFALO SEMINARY330990,BUFFALO SEMINARY,Buffalo,New York,3.55,,
BULLIS SCHOOL210955,BULLIS SCHOOL,Potomac,Maryland,3.86,3.93,4.02
BURLINGTON HIGH SCHOOL220470,BURLINGTON HIGH SCHOOL,Burlington,Massachusetts,3.89,,
BURR AND BURTON ACADEMY460225,BURR AND BURTON ACADEMY,Manchester,Vermont,3.75,3.87,
BYRAM HILLS HIGH SCHOOL330225,BYRAM HILLS HIGH SCHOOL,Armonk,New York,3.94,,
C LEON KING HIGH SCHOOL101717,C LEON KING HIGH SCHOOL,Tampa,Florida,4.05,4.1,
CACTUS SHADOWS HIGH SCHOOL030043,CACTUS SHADOWS HIGH SCHOOL,Cave Creek,Arizona,3.96,3.99,
CADDO PARISH MAGNET HS192679,CADDO PARISH MAGNET HS,Shreveport,Louisiana,3.76,3.76,
CAESAR RODNEY HIGH SCHOOL080005,CAESAR RODNEY HIGH SCHOOL,Camden,Delaware,4.03,4.02,
CAMAS HIGH SCHOOL480140,CAMAS HIGH SCHOOL,Camas,Washington,4.15,4.16,
CAMBRIDGE HIGH SCHOOL112129,CAMBRIDGE HIGH SCHOOL,Milton,Georgia,4.22,4.19,
CAMBRIDGE RINDGE AND LATIN SCH220493,CAMBRIDGE RINDGE AND LATIN SCH,Cambridge,Massachusetts,3.92,3.94,
CAMBRIDGE SCHOOL OF WESTON222350,CAMBRIDGE SCHOOL OF WESTON,Weston,Massachusetts,3.9,3.93,
CAMPBELL HIGH SCHOOL112745,CAMPBELL HIGH SCHOOL,Smyrna,Georgia,4.1,4.21,
CAMPO VERDE HIGH SCHOOL030696,CAMPO VERDE HIGH SCHOOL,Gilbert,Arizona,4.1,4.16,
CANTERBURY SCHOOL070540,CANTERBURY SCHOOL,New Milford,Connecticut,4,4.11,
CANTON HIGH SCHOOL220545,CANTON HIGH SCHOOL,Canton,Massachusetts,4.09,4.09,
CANTON HIGH SCHOOL233044,CANTON HIGH SCHOOL,Canton,Michigan,3.68,,
CANYON DEL ORO HIGH SCHOOL030473,CANYON DEL ORO HIGH SCHOOL,Oro Valley,Arizona,3.83,,
CAPE COD ACADEMY221713,CAPE COD ACADEMY,Osterville,Massachusetts,3.86,3.98,
CAPE FEAR ACADEMY344347,CAPE FEAR ACADEMY,Wilmington,North Carolina,4.13,4.13,
CAPE HENRY COLLEGIATE472286,CAPE HENRY COLLEGIATE,Virginia Beach,Virginia,4.08,4.08,
CAPITAL HIGH SCHOOL480829,CAPITAL HIGH SCHOOL,Olympia,Washington,4.1,4.1,
CARDINAL GIBBONS HIGH SCHOOL343205,CARDINAL GIBBONS HIGH SCHOOL,Raleigh,North Carolina,4.01,,
CARL SANDBURG HIGH SCHOOL143325,CARL SANDBURG HIGH SCHOOL,Orland Park,Illinois,4.04,3.98,
CARMEL CATHOLIC HIGH SCHOOL143096,CARMEL CATHOLIC HIGH SCHOOL,Mundelein,Illinois,3.81,,
CARMEL HIGH SCHOOL150445,CARMEL HIGH SCHOOL,Carmel,Indiana,4.07,4.12,4.17
CARNEGIE VANGUARD HIGH SCHOOL443541,CARNEGIE VANGUARD HIGH SCHOOL,Houston,Texas,3.94,4.01,
